Country,Year,Female_Participants
Canada,1924,2
Canada,1928,3
Canada,1932,5
Canada,1936,7
Canada,1948,5
Canada,1952,16
Canada,1956,16
Canada,1960,24
Canada,1964,26
Canada,1968,30
Canada,1972,34
Canada,1976,41
Canada,1980,34
Canada,1984,33
Canada,1988,62
Canada,1992,59
Canada,1994,54
Canada,1998,93
Canada,2002,101
Canada,2006,136
Canada,2010,138
Canada,2014,158
France,1924,3
France,1928,3
France,1932,1
France,1948,16
France,1952,11
France,1956,13
France,1960,18
France,1964,17
France,1968,26
France,1972,13
France,1976,13
France,1980,10
France,1984,13
France,1988,27
France,1992,61
France,1994,63
France,1998,54
France,2002,49
France,2006,69
France,2010,71
France,2014,74
Germany,1928,5
Germany,1936,7
Germany,1952,18
Germany,1956,21
Germany,1960,35
Germany,1964,44
Germany,1968,58
Germany,1972,57
Germany,1976,56
Germany,1980,61
Germany,1984,56
Germany,1988,79
Germany,1992,74
Germany,1994,62
Germany,1998,96
Germany,2002,121
Germany,2006,116
Germany,2010,105
Germany,2014,126
Italy,1936,5
Italy,1948,8
Italy,1952,10
Italy,1956,21
Italy,1960,14
Italy,1964,15
Italy,1968,16
Italy,1972,3
Italy,1976,17
Italy,1980,16
Italy,1984,29
Italy,1988,30
Italy,1992,60
Italy,1994,61
Italy,1998,59
Italy,2002,90
Italy,2006,117
Italy,2010,80
Italy,2014,96
Japan,1936,1
Japan,1960,13
Japan,1964,15
Japan,1968,18
Japan,1972,39
Japan,1976,14
Japan,1980,9
Japan,1984,12
Japan,1988,27
Japan,1992,53
Japan,1994,36
Japan,1998,102
Japan,2002,88
Japan,2006,87
Japan,2010,72
Japan,2014,96
Norway,1924,1
Norway,1928,3
Norway,1932,1
Norway,1936,6
Norway,1948,8
Norway,1952,19
Norway,1956,18
Norway,1960,11
Norway,1964,14
Norway,1968,26
Norway,1972,33
Norway,1976,20
Norway,1980,20
Norway,1984,22
Norway,1988,22
Norway,1992,53
Norway,1994,48
Norway,1998,62
Norway,2002,56
Norway,2006,56
Norway,2010,55
Norway,2014,77
Russia,1956,13
Russia,1960,30
Russia,1964,34
Russia,1968,39
Russia,1972,39
Russia,1976,35
Russia,1980,36
Russia,1984,42
Russia,1988,41
Russia,1992,81
Russia,1994,84
Russia,1998,75
Russia,2002,102
Russia,2006,111
Russia,2010,126
Russia,2014,152
Sweden,1932,1
Sweden,1936,1
Sweden,1948,3
Sweden,1952,16
Sweden,1956,17
Sweden,1960,15
Sweden,1964,24
Sweden,1968,23
Sweden,1972,25
Sweden,1976,19
Sweden,1980,30
Sweden,1984,22
Sweden,1988,28
Sweden,1992,43
Sweden,1994,48
Sweden,1998,72
Sweden,2002,73
Sweden,2006,73
Sweden,2010,80
Sweden,2014,64
Switzerland,1928,2
Switzerland,1936,4
Switzerland,1948,18
Switzerland,1952,15
Switzerland,1956,14
Switzerland,1960,14
Switzerland,1964,18
Switzerland,1968,13
Switzerland,1972,13
Switzerland,1976,12
Switzerland,1980,18
Switzerland,1984,31
Switzerland,1988,36
Switzerland,1992,39
Switzerland,1994,38
Switzerland,1998,35
Switzerland,2002,46
Switzerland,2006,62
Switzerland,2010,66
Switzerland,2014,94
USA,1924,3
USA,1928,5
USA,1932,6
USA,1936,10
USA,1948,19
USA,1952,17
USA,1956,17
USA,1960,29
USA,1964,31
USA,1968,32
USA,1972,43
USA,1976,46
USA,1980,45
USA,1984,49
USA,1988,67
USA,1992,90
USA,1994,90
USA,1998,127
USA,2002,137
USA,2006,138
USA,2010,145
USA,2014,160
